starttime,start station id
27.0,91
1531.0,107
1887.0,67
2617.0,91
9529.0,110
12110.0,105
15552.0,67
21266.0,104
21411.0,96
22372.0,105
23172.0,116
24122.0,87
24523.0,96
25181.0,88
25365.0,116
25730.0,116
25937.0,68
26058.0,67
27250.0,68
27258.0,105
27514.0,115
27667.0,84
27879.0,107
27932.0,76
28356.0,75
28547.0,67
28700.0,73
28931.0,88
28947.0,91
28954.0,143
29008.0,88
29062.0,88
29120.0,105
29194.0,68
29365.0,88
29489.0,76
29529.0,89
29558.0,89
29627.0,76
29767.0,75
29855.0,105
29938.0,88
30115.0,96
30274.0,76
30448.0,76
30478.0,88
30514.0,104
30670.0,74
30776.0,95
30829.0,107
30906.0,96
30956.0,95
30989.0,116
30992.0,91
30998.0,116
31046.0,72
31165.0,88
31199.0,88
31220.0,88
31239.0,116
31427.0,68
31482.0,88
31498.0,88
31549.0,107
31703.0,105
31703.0,105
31742.0,76
31794.0,104
31813.0,75
31817.0,104
32141.0,104
32142.0,67
32154.0,75
32223.0,95
32409.0,76
32426.0,96
32449.0,84
32453.0,73
32536.0,107
32560.0,107
32584.0,104
32740.0,95
32951.0,140
32954.0,88
32997.0,87
33107.0,96
33186.0,89
33412.0,68
33663.0,72
33825.0,95
33933.0,76
33975.0,68
33985.0,75
34266.0,95
34339.0,88
34523.0,96
34679.0,115
34742.0,67
34849.0,88
34850.0,110
34902.0,116
35039.0,95
35223.0,95
35326.0,110
35712.0,107
35879.0,116
35881.0,96
36036.0,90
36427.0,107
36870.0,90
36988.0,107
37456.0,107
37598.0,140
37658.0,116
37714.0,84
37730.0,118
37740.0,116
38019.0,88
38208.0,67
38323.0,68
38402.0,107
38474.0,107
38575.0,116
38642.0,87
38853.0,68
39107.0,67
39201.0,108
39270.0,104
39458.0,91
39798.0,91
40496.0,68
40781.0,95
40868.0,95
40944.0,87
41030.0,116
41623.0,67
41631.0,74
42534.0,73
42652.0,87
42964.0,105
43010.0,107
43109.0,96
43152.0,116
43202.0,75
43269.0,75
43412.0,96
43722.0,143
43853.0,116
43888.0,68
43986.0,108
44182.0,118
44249.0,84
44852.0,116
45139.0,91
45275.0,108
45468.0,89
45493.0,108
45521.0,72
45679.0,95
45735.0,74
46029.0,72
46151.0,105
46333.0,70
46432.0,84
46495.0,74
47037.0,90
47124.0,70
47168.0,70
47604.0,110
47697.0,70
47710.0,117
47856.0,74
