starttime,start station id
678.0,89
810.0,96
19165.0,104
23075.0,84
23086.0,116
23115.0,67
23230.0,143
23848.0,88
24404.0,89
25600.0,116
25806.0,140
26352.0,96
26635.0,88
27218.0,104
27240.0,68
27277.0,97
27408.0,140
27669.0,72
27718.0,115
27750.0,115
27892.0,76
27975.0,91
27995.0,96
28129.0,76
28327.0,75
28361.0,115
28387.0,91
28430.0,90
28490.0,70
28508.0,76
28531.0,88
28735.0,96
28896.0,87
29177.0,116
29219.0,74
29255.0,91
29309.0,95
29423.0,95
29467.0,117
29615.0,87
29745.0,88
29927.0,104
30201.0,115
30264.0,76
30285.0,95
30290.0,87
30593.0,87
30732.0,116
30756.0,74
30846.0,141
30940.0,116
30953.0,90
31010.0,116
31105.0,76
31191.0,95
31234.0,88
31274.0,88
31278.0,88
31428.0,91
31512.0,70
31546.0,75
31610.0,73
31614.0,115
31683.0,95
31750.0,87
31751.0,116
31792.0,117
31827.0,72
31857.0,140
31897.0,95
31976.0,88
32125.0,95
32176.0,84
32265.0,75
32351.0,68
32373.0,110
32569.0,104
32578.0,95
32622.0,90
32781.0,116
32813.0,90
32992.0,95
33102.0,75
33144.0,70
33291.0,68
33353.0,67
33442.0,84
33623.0,76
33919.0,75
33936.0,89
34019.0,95
34024.0,96
34067.0,95
34227.0,116
34283.0,88
34370.0,91
34407.0,89
34435.0,88
34467.0,88
34873.0,67
34966.0,88
35059.0,140
35211.0,75
35354.0,75
35583.0,75
35647.0,87
35653.0,87
35865.0,84
35996.0,76
36201.0,96
36422.0,95
36799.0,142
37141.0,116
37193.0,91
37250.0,95
37315.0,115
37486.0,91
37627.0,115
37755.0,116
37888.0,95
38247.0,67
39167.0,91
39392.0,88
39393.0,88
40043.0,95
40108.0,88
40300.0,88
41128.0,89
41233.0,104
41726.0,88
42572.0,68
42797.0,68
43141.0,90
43968.0,68
44379.0,67
44660.0,68
44950.0,108
45033.0,87
45110.0,84
45514.0,73
45588.0,67
45989.0,67
46114.0,140
46386.0,141
46706.0,74
46953.0,74
47146.0,96
47663.0,104
47920.0,67
47947.0,91
48279.0,74
48614.0,76
48750.0,74
48753.0,108
49091.0,143
49250.0,67
50473.0,104
50611.0,80
50726.0,115
51552.0,88
53105.0,75
53151.0,118
53206.0,95
53573.0,104
53615.0,110
53848.0,141
53913.0,110
54267.0,116
54732.0,76
54855.0,91
54978.0,89
55548.0,89
55666.0,95
56025.0,80
56211.0,70
56370.0,76
56406.0,84
56468.0,75
56503.0,80
56773.0,140
57075.0,76
57410.0,68
57570.0,115
57643.0,80
57851.0,91
58191.0,95
58592.0,96
58649.0,105
58841.0,91
58927.0,87
58978.0,75
59021.0,104
59306.0,91
59358.0,95
59544.0,70
59686.0,68
59795.0,140
60140.0,80
60523.0,104
60597.0,80
60626.0,107
60655.0,84
60732.0,107
61011.0,80
61151.0,84
61173.0,117
61199.0,67
61361.0,89
61439.0,67
61491.0,84
61509.0,110
61850.0,140
61929.0,73
62037.0,80
62152.0,68
62356.0,89
62423.0,110
62453.0,75
62531.0,91
62549.0,108
62598.0,68
62686.0,73
62775.0,67
62913.0,70
62990.0,80
63104.0,84
63209.0,117
63949.0,80
64002.0,91
64150.0,68
64236.0,104
64252.0,73
64278.0,141
64291.0,108
64337.0,107
64373.0,91
64389.0,108
64416.0,91
64448.0,67
64477.0,91
64778.0,67
64794.0,107
64848.0,74
65063.0,67
65116.0,80
65190.0,74
65330.0,88
65641.0,104
65695.0,90
65725.0,96
65734.0,80
65736.0,73
65889.0,91
66003.0,74
66062.0,67
66146.0,107
66356.0,107
66433.0,80
66499.0,107
66532.0,84
66997.0,68
67321.0,110
67322.0,91
67359.0,68
67370.0,68
67443.0,91
67655.0,73
68441.0,80
68563.0,76
68852.0,107
69229.0,74
69743.0,108
69754.0,88
70007.0,116
70026.0,116
70325.0,117
70791.0,68
71735.0,72
72102.0,96
72325.0,68
72327.0,108
72546.0,88
73068.0,68
73213.0,80
75208.0,76
75931.0,70
76038.0,68
77217.0,91
78283.0,91
78997.0,116
79273.0,67
79422.0,68
82602.0,104
83361.0,72
84105.0,72
85432.0,89
-1,-1
22727.0,116
22765.0,104
23657.0,87
23965.0,95
24004.0,115
24183.0,87
24187.0,87
24747.0,89
25327.0,88
26159.0,88
26918.0,115
26940.0,88
26983.0,115
26996.0,115
27109.0,70
27357.0,107
27491.0,107
27686.0,104
27785.0,115
27820.0,105
28227.0,145
28403.0,88
28566.0,90
28624.0,87
28829.0,107
28829.0,90
29255.0,91
29384.0,117
29408.0,105
29424.0,68
29466.0,91
29678.0,115
29755.0,96
29880.0,95
29900.0,88
30103.0,67
30106.0,95
30148.0,67
30215.0,96
30379.0,67
30736.0,87
30778.0,95
30860.0,95
30979.0,116
30985.0,116
31003.0,107
31212.0,88
31233.0,88
31284.0,107
31369.0,67
31446.0,104
31506.0,96
31580.0,116
31623.0,115
31716.0,68
31722.0,110
31812.0,96
31853.0,90
31868.0,75
31907.0,88
31921.0,116
31929.0,84
31947.0,96
31985.0,87
32019.0,87
32039.0,107
32142.0,116
32173.0,76
32191.0,95
32280.0,88
32344.0,87
32412.0,116
32566.0,75
32668.0,68
32794.0,96
32838.0,76
32959.0,115
33086.0,84
33123.0,107
33160.0,116
33317.0,87
33325.0,116
33440.0,73
33461.0,96
33569.0,107
33583.0,116
33650.0,95
33854.0,73
33876.0,75
33989.0,75
34023.0,68
34043.0,75
34175.0,84
34196.0,110
34349.0,107
34737.0,67
35104.0,142
35113.0,107
35285.0,88
35395.0,75
35514.0,88
35619.0,88
35757.0,105
35901.0,116
35957.0,76
36023.0,70
36115.0,116
36289.0,105
36290.0,107
36341.0,68
36504.0,76
36601.0,68
36772.0,95
36785.0,91
36905.0,76
37058.0,72
37263.0,104
37354.0,96
37660.0,96
37811.0,95
38251.0,95
38278.0,74
38322.0,107
38706.0,107
38861.0,104
38877.0,67
39141.0,80
39146.0,95
39624.0,88
39691.0,96
39771.0,74
40280.0,116
40924.0,88
41156.0,116
41183.0,74
41463.0,89
41537.0,105
41543.0,117
41608.0,95
41615.0,90
41752.0,110
43394.0,70
43427.0,72
43607.0,115
43828.0,70
43963.0,74
44100.0,107
44183.0,91
44634.0,67
44708.0,104
44843.0,84
44849.0,84
45363.0,88
45396.0,89
45529.0,67
45998.0,108
46223.0,105
46270.0,91
46323.0,141
46452.0,110
46662.0,75
46931.0,80
47274.0,74
47850.0,140
47900.0,145
48074.0,96
48578.0,143
49084.0,116
49215.0,76
49458.0,95
50437.0,95
50584.0,80
50656.0,68
50679.0,115
50805.0,96
50943.0,117
51340.0,84
51583.0,105
51605.0,105
52301.0,73
52423.0,70
52508.0,68
52654.0,96
52910.0,115
53157.0,96
53311.0,110
53466.0,75
53472.0,75
53513.0,76
53693.0,105
53775.0,74
53902.0,80
53944.0,67
54145.0,89
55200.0,118
55402.0,67
55435.0,80
55567.0,105
56075.0,91
56144.0,74
56312.0,107
56695.0,116
56727.0,72
56854.0,76
57344.0,110
57533.0,76
57813.0,80
58201.0,117
58291.0,70
58432.0,96
58466.0,96
58551.0,67
58866.0,68
58959.0,117
59036.0,91
59065.0,91
59302.0,91
59327.0,110
59354.0,104
59773.0,108
59815.0,140
59817.0,140
59851.0,91
59969.0,105
59996.0,140
60136.0,117
60175.0,107
60222.0,116
60231.0,80
60587.0,105
60724.0,105
60733.0,74
60786.0,96
60889.0,89
60992.0,116
61004.0,117
61044.0,141
61101.0,116
61192.0,108
61423.0,67
61446.0,73
61541.0,107
61642.0,67
61710.0,68
61778.0,88
61881.0,67
61908.0,84
61931.0,107
61972.0,91
62120.0,72
62149.0,107
62188.0,91
62299.0,80
62334.0,67
62356.0,67
62385.0,110
62418.0,96
62472.0,117
62483.0,80
62645.0,75
62659.0,105
62969.0,74
62982.0,110
62997.0,74
63056.0,117
63188.0,110
63323.0,117
63591.0,73
63601.0,90
63855.0,91
63873.0,87
63885.0,80
